Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Mileage_num,Engine_num,Power_num,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Automatic,Trans_Manual,Car_Age,Mileage_per_cc
5102,Maruti Wagon R VXI,Kochi,2019,31817,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,5.34,22.5,998.0,67.04,False,False,True,False,True,6,0.02254509015777045
1797,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16 kmpl,1197 CC,78.9 bhp,5.0,7.27,18.16,1197.0,78.9,False,False,True,False,True,6,0.015171261474376556
2095,Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2.0,83.96,19.0,2996.0,362.07,False,False,True,True,False,6,0.006341789049952674
1032,Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,Diesel,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,5.0,14.01,20.37,1461.0,108.45,True,False,False,False,True,6,0.0139425051239271
1018,Maruti Swift Dzire VDI Optional,Kochi,2019,18592,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,8.51,26.59,1248.0,74.0,True,False,False,False,True,6,0.021306089726517555
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,10.49,24.3,1248.0,88.5,True,False,False,False,True,6,0.01947115383055196
5434,Honda WR-V Edge Edition i-VTEC S,Kochi,2019,13913,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,8.2,17.5,1199.0,88.7,False,False,True,False,True,6,0.014595496234699334
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,11.65,23.0,1498.0,98.96,True,False,False,False,True,6,0.015353805063181705
1008,Maruti Omni E MPI STD BS IV,Kochi,2019,11571,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8.0,3.8,16.8,796.0,34.2,False,False,True,False,True,6,0.021105527611676472
3324,Mercedes-Benz CLA 200 CDI Sport,Kochi,2019,29836,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,25.75,17.9,2143.0,136.0,True,False,False,True,False,6,0.008352776477670193
975,Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7.0,31.15,12.62,2198.0,158.0,True,False,False,True,False,6,0.005741583254894639
2728,Maruti Baleno Alpha CVT,Kochi,2019,13574,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,9.51,21.4,1197.0,83.1,False,False,True,True,False,6,0.017878028389408496
4961,Maruti Dzire AMT ZXI Plus,Coimbatore,2019,8018,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,8.3,22.0,1197.0,81.8,False,False,True,True,False,6,0.01837928152182182
