Unnamed: 0,Name,Location,Manufacture_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Mileage_num,Engine_num,Power_num,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Automatic,Trans_Manual,Car_Age
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,12.5,19.67,1582.0,126.2,True,False,False,False,True,10
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,17.5,11.36,2755.0,171.5,True,False,False,True,False,9
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,9.95,21.56,1462.0,103.25,False,False,True,False,True,7
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,5.6,25.2,1248.0,74.0,True,False,False,False,True,10
16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,5.4,25.8,1498.0,98.6,True,False,False,False,True,9
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,5.99,28.4,1248.0,74.0,True,False,False,False,True,8
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,8.25,23.65,1248.0,88.5,True,False,False,False,True,10
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,23.5,13.53,1984.0,177.01,False,False,True,True,False,10
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,9.9,17.5,1199.0,88.7,False,False,True,False,True,7
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,8.63,24.3,1248.0,88.5,True,False,False,False,True,7
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5.0,4.85,18.15,1198.0,82.0,False,False,True,False,True,8
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,5.58,25.32,1198.0,77.0,True,False,False,False,True,8
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,10.11,14.28,1798.0,138.03,False,False,True,True,False,9
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,21.43,17.11,1968.0,174.33,True,False,False,True,False,10
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5.0,3.6,18.9,1197.0,82.0,False,False,True,False,True,10
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,3.99,15.04,1598.0,103.2,False,False,True,False,True,10
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,16.5,13.68,2393.0,147.8,True,False,False,False,True,8
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,26.7,11.74,1796.0,186.0,False,False,True,True,False,10
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,2.5,25.0,1396.0,69.0,True,False,False,False,True,9
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,35.67,0.0,1950.0,194.0,True,False,False,True,False,6
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,8.15,24.52,1248.0,88.5,True,False,False,False,True,9
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,10.5,22.1,1396.0,88.7,True,False,False,False,True,7
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,9.65,15.1,2179.0,140.0,True,False,False,False,True,10
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,6.92,19.64,1461.0,108.5,True,False,False,False,True,10
74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,6.46,16.5,1198.0,86.8,False,False,True,True,False,9
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,4.5,17.57,1193.0,88.7,False,False,True,False,True,8
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,4.82,18.0,1198.0,86.7,False,False,True,False,True,9
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,5.75,18.9,1197.0,82.0,False,False,True,False,True,9
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,5.0,17.8,1198.0,86.7,False,False,True,False,True,9
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,39.58,17.68,1968.0,174.33,True,False,False,True,False,7
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,3.5,25.8,1498.0,98.6,True,False,False,False,True,10
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7.0,3.95,19.83,1198.0,67.0,False,False,True,False,True,8
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,19.25,11.36,2755.0,171.5,True,False,False,True,False,8
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5.0,3.91,15.1,1196.0,73.0,False,False,True,False,True,8
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,20.75,22.69,1995.0,190.0,True,False,False,True,False,10
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5.0,6.55,19.15,1198.0,75.94,False,False,True,True,False,9
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,7.5,24.3,1248.0,88.5,True,False,False,False,True,9
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,10.95,22.0,1582.0,126.2,True,False,False,False,True,7
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5.0,7.25,21.21,1498.0,103.2,True,False,False,True,False,10
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,7.47,20.73,1373.0,91.1,False,False,True,False,True,8
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,13.25,16.0,2179.0,140.0,True,False,False,True,False,9
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,5.81,21.1,1197.0,85.8,False,False,True,False,True,9
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2.0,54.0,19.0,2996.0,362.07,False,False,True,True,False,8
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,11.5,17.0,1591.0,121.3,False,False,True,True,False,6
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5.0,17.22,20.58,1995.0,143.0,True,False,False,True,False,10
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,6.0,19.0,1199.0,88.7,False,False,True,True,False,10
142,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,5.43,22.0,1197.0,81.8,False,False,True,False,True,9
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,9.9,20.73,1373.0,91.1,False,False,True,False,True,7
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,23.32,17.11,1968.0,174.33,True,False,False,True,False,10
151,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,6.25,22.9,1248.0,74.0,True,False,False,False,True,9
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,9.86,21.66,1498.0,103.52,True,False,False,True,False,9
157,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5.0,2.5,20.63,1198.0,67.06,False,False,True,False,True,9
